Protein ID,Disorder,Linear B-cell Epitopes,Tandem Repeats,Non-syn SNPs,Protein Length,Tajimas D (Guinea),Tajimas D (Gambia)
mal_mito_1,0.8,0.4,0.0,0.4,250,-99.0,-99.0
mal_mito_2,1.46,3.14,0.0,0.0,478,-99.0,-99.0
mal_mito_3,1.33,2.93,0.0,0.0,376,-99.0,-99.0
PF3D7_0100100,57.61,35.64,1.2,23.99,2163,-99.0,-99.0
PF3D7_0100200,8.16,7.55,0.0,15.11,331,-99.0,-99.0
PF3D7_0100300,32.71,21.78,1.13,9.27,1327,-99.0,-99.0
PF3D7_0100400,2.69,4.84,0.0,12.1,372,-99.0,-99.0
PF3D7_0100600,7.8,10.58,0.0,10.86,359,-99.0,-99.0
PF3D7_0100700,2.99,8.96,0.0,17.91,67,-99.0,-99.0
PF3D7_0100800,7.85,4.36,0.0,2.33,344,-99.0,-99.0
PF3D7_0100900,5.14,5.14,4.57,13.71,350,-99.0,-99.0
PF3D7_0101000,12.29,7.82,5.31,10.61,358,-99.0,-99.0
PF3D7_0101100,7.44,14.89,2.91,1.62,309,-99.0,-99.0
PF3D7_0101200,9.13,19.13,0.0,0.43,230,-99.0,-99.0
PF3D7_0101300,4.26,16.17,0.0,13.62,235,-99.0,-99.0
PF3D7_0101600,3.25,8.13,0.0,20.87,369,-99.0,-99.0
PF3D7_0101800,6.92,14.53,0.0,14.53,289,-99.0,-99.0
PF3D7_0101900,5.25,13.7,0.0,8.75,343,-99.0,-99.0
PF3D7_0102200,50.51,32.9,24.98,1.47,1085,0.14,0.7
PF3D7_0102300,7.69,23.08,0.0,0.0,117,-99.0,-99.0
PF3D7_0102500,55.14,31.46,3.38,0.26,1567,-1.36,-1.91
PF3D7_0102600,16.19,14.92,0.0,0.16,630,-1.79,-1.71
PF3D7_0102700,16.67,5.07,0.0,0.36,276,-0.49,-0.18
PF3D7_0102800,5.6,9.23,7.08,0.0,607,-1.59,-1.39
PF3D7_0102900,14.54,8.63,2.4,0.0,626,-1.5,-0.75
PF3D7_0103000,30.12,28.19,0.0,0.39,259,-1.1,-0.85
PF3D7_0103100,36.84,15.18,9.12,1.35,1634,-1.8,-0.59
